14x24 420.in	14x24	14	4704	59251	time out	UNKNOWN
14x24 158.in	14x24	13	4368	53194	9657	SAT
14x24 105.in	14x24	22	7392	113961	52760	SAT
14x24 117.in	14x24	19	6384	91984	68162	SAT
14x24 190.in	14x24	13	4368	53212	95014	SAT
14x24 418.in	14x24	18	6048	85439	104244	SAT
14x24 218.in	14x24	20	6720	99373	175136	SAT
14x24 148.in	14x24	15	5040	65523	124737	SAT
14x24 188.in	14x24	22	7392	114359	28927	SAT
14x24 129.in	14x24	20	6720	99172	447397	SAT
14x24 147.in	14x24	21	7056	106193	12000	SAT
14x24 419.in	14x24	24	8064	129358	85618	SAT
